TITLE     = "| |"
VARIABLES = "X"
"Y"
"Z"
ZONE T="ZONE 001"
 STRANDID=0, SOLUTIONTIME=0
 Nodes=5704, Elements=5702, ZONETYPE=FEQuadrilateral
 DATAPACKING=POINT
 DT=(SINGLE SINGLE SINGLE )
 1.158514380E+00 1.643321991E+00 2.952221870E+00
 1.151732326E+00 1.639447689E+00 2.946535587E+00
 1.275503993E+00 1.199413300E+00 2.671133518E+00
 1.161620259E+00 1.647499084E+00 2.946333408E+00
 1.165036082E+00 1.651804209E+00 2.940713882E+00
 1.168658376E+00 1.656148672E+00 2.935249329E+00
 1.172517657E+00 1.660561800E+00 2.930020809E+00
 1.176544785E+00 1.665000200E+00 2.924935818E+00
 1.180638909E+00 1.669428349E+00 2.919907093E+00
 1.184778094E+00 1.673819304E+00 2.914864540E+00
 1.188994527E+00 1.678191423E+00 2.909890175E+00
 1.193276525E+00 1.682573318E+00 2.904961109E+00
 1.197426200E+00 1.686954975E+00 2.899920464E+00
 1.201566100E+00 1.691335917E+00 2.894878387E+00
 1.205537438E+00 1.695701361E+00 2.889693260E+00
 1.209382176E+00 1.700025320E+00 2.884369373E+00
 1.213029504E+00 1.704320431E+00 2.878890038E+00
 1.216470838E+00 1.708779335E+00 2.873412609E+00
 1.219543815E+00 1.713316679E+00 2.867787838E+00
 1.222383618E+00 1.717310667E+00 2.861648560E+00
 1.225094199E+00 1.720259905E+00 2.854887962E+00
 1.227572322E+00 1.722425699E+00 2.847760677E+00
 1.229700923E+00 1.724192381E+00 2.840410709E+00
 1.231439948E+00 1.725824356E+00 2.832917213E+00
 1.232830882E+00 1.727277756E+00 2.825316429E+00
 1.233889937E+00 1.728464603E+00 2.817625999E+00
 1.234635711E+00 1.729305506E+00 2.809843540E+00
 1.235109687E+00 1.729847908E+00 2.802018642E+00
 1.235338092E+00 1.730116606E+00 2.794172764E+00
 1.235317826E+00 1.730141401E+00 2.786313057E+00
 1.235067248E+00 1.729926109E+00 2.778460979E+00
 1.234656215E+00 1.729457378E+00 2.770633221E+00
 1.234085917E+00 1.728734732E+00 2.762820244E+00
 1.233393550E+00 1.727763653E+00 2.755054951E+00
 1.232638955E+00 1.726567984E+00 2.747319698E+00
 1.231849790E+00 1.725161314E+00 2.739626884E+00
 1.231034160E+00 1.723555565E+00 2.731986046E+00
 1.230252862E+00 1.721782684E+00 2.724359989E+00
 1.229530692E+00 1.719886303E+00 2.716767311E+00
 1.228878379E+00 1.717866659E+00 2.709199905E+00
 1.228255153E+00 1.715712309E+00 2.701673985E+00
 1.227671742E+00 1.713423014E+00 2.694180965E+00
 1.227086663E+00 1.711014748E+00 2.686716557E+00
 1.226510167E+00 1.708470345E+00 2.679302692E+00
 1.225921988E+00 1.705797434E+00 2.671936512E+00
 1.225332618E+00 1.702968359E+00 2.664631844E+00
 1.224715590E+00 1.699941397E+00 2.657399178E+00
 1.224041104E+00 1.696666956E+00 2.650289536E+00
 1.223348737E+00 1.693167925E+00 2.643284798E+00
 1.222667575E+00 1.689456463E+00 2.636386871E+00
 1.222005010E+00 1.685544968E+00 2.629614830E+00
 1.221382022E+00 1.681443214E+00 2.622940063E+00
 1.220836520E+00 1.677193880E+00 2.616352558E+00
 1.220397830E+00 1.672826529E+00 2.609821796E+00
 1.220073104E+00 1.668364525E+00 2.603368282E+00
 1.219883561E+00 1.663797855E+00 2.596973419E+00
 1.219848514E+00 1.659148216E+00 2.590637684E+00
 1.219958425E+00 1.654376507E+00 2.584393024E+00
 1.220203519E+00 1.649464130E+00 2.578259468E+00
 1.220573783E+00 1.644364119E+00 2.572291374E+00
 1.221068740E+00 1.639057875E+00 2.566518784E+00
 1.221686959E+00 1.633537054E+00 2.560962200E+00
 1.222408175E+00 1.627764702E+00 2.555673599E+00
 1.223268628E+00 1.621791840E+00 2.550642490E+00
 1.224307895E+00 1.615632772E+00 2.545870304E+00
 1.225561976E+00 1.609339476E+00 2.541337013E+00
 1.227040410E+00 1.602922440E+00 2.537041664E+00
 1.228761315E+00 1.596422911E+00 2.532974243E+00
 1.230751395E+00 1.589872360E+00 2.529124260E+00
 1.232962012E+00 1.583238840E+00 2.525519371E+00
 1.235348105E+00 1.576532125E+00 2.522205830E+00
 1.237880826E+00 1.569730043E+00 2.519193172E+00
 1.240538239E+00 1.562841892E+00 2.516488552E+00
 1.243278861E+00 1.555874586E+00 2.514107704E+00
 1.246081948E+00 1.548828125E+00 2.512060642E+00
 1.248957992E+00 1.541719675E+00 2.510304928E+00
 1.251917481E+00 1.534606218E+00 2.508788109E+00
 1.254981637E+00 1.527488232E+00 2.507481575E+00
 1.258130908E+00 1.520372391E+00 2.506372929E+00
 1.261387706E+00 1.513286352E+00 2.505402088E+00
 1.264751315E+00 1.506231070E+00 2.504579067E+00
 1.268192649E+00 1.499193430E+00 2.503901958E+00
 1.271690249E+00 1.492173433E+00 2.503389359E+00
 1.275214314E+00 1.485158920E+00 2.503048897E+00
 1.278752446E+00 1.478142023E+00 2.502922058E+00
 1.282254100E+00 1.471109390E+00 2.503023624E+00
 1.285710454E+00 1.464059591E+00 2.503344536E+00
 1.289099336E+00 1.456992149E+00 2.503902435E+00
 1.292381406E+00 1.449894428E+00 2.504704952E+00
 1.295600533E+00 1.442785740E+00 2.505694389E+00
 1.298765302E+00 1.435685158E+00 2.506849766E+00
 1.301879287E+00 1.428590059E+00 2.508130550E+00
 1.304961801E+00 1.421502829E+00 2.509549618E+00
 1.308003306E+00 1.414422750E+00 2.511105537E+00
 1.311041236E+00 1.407373190E+00 2.512799263E+00
 1.314066768E+00 1.400352478E+00 2.514621258E+00
 1.317108750E+00 1.393373489E+00 2.516572475E+00
 1.320154786E+00 1.386446476E+00 2.518671036E+00
 1.323174834E+00 1.379550219E+00 2.520936489E+00
 1.326118827E+00 1.372680902E+00 2.523374557E+00
 1.328952909E+00 1.365848780E+00 2.526022434E+00
 1.331669688E+00 1.359031677E+00 2.528860569E+00
 1.334187865E+00 1.352242470E+00 2.531891346E+00
 1.336498857E+00 1.345461369E+00 2.535125256E+00
 1.338572621E+00 1.338694334E+00 2.538539886E+00
 1.340351701E+00 1.331925392E+00 2.542120934E+00
 1.341825604E+00 1.325172424E+00 2.545856476E+00
 1.342972398E+00 1.318444729E+00 2.549754620E+00
 1.343747735E+00 1.311769962E+00 2.553838730E+00
 1.344098449E+00 1.305183411E+00 2.558092594E+00
 1.344043374E+00 1.298651218E+00 2.562459469E+00
 1.343570113E+00 1.292146683E+00 2.566859722E+00
 1.342682958E+00 1.285684824E+00 2.571222782E+00
 1.341272473E+00 1.279412508E+00 2.575750351E+00
 1.339295030E+00 1.273679972E+00 2.580725193E+00
 1.336677194E+00 1.268816233E+00 2.586309910E+00
 1.333531260E+00 1.264515877E+00 2.592082977E+00
 1.330053210E+00 1.260170698E+00 2.597640038E+00
 1.326452613E+00 1.255688906E+00 2.602995872E+00
 1.322630286E+00 1.251281500E+00 2.608256817E+00
 1.318652511E+00 1.246958494E+00 2.613478661E+00
 1.314493299E+00 1.242704391E+00 2.618620872E+00
 1.310305238E+00 1.238456249E+00 2.623739719E+00
 1.305957913E+00 1.234267712E+00 2.628760338E+00
 1.301661372E+00 1.230045795E+00 2.633818150E+00
 1.297532201E+00 1.225785255E+00 2.638972759E+00
 1.293367028E+00 1.221573114E+00 2.644141197E+00
 1.289318919E+00 1.217346191E+00 2.649381161E+00
 1.285421968E+00 1.213056803E+00 2.654687881E+00
 1.281823754E+00 1.208618164E+00 2.660080433E+00
 1.278478265E+00 1.204097986E+00 2.665570736E+00
 1.266684413E+00 1.203291655E+00 2.670315742E+00
 1.154350638E+00 1.644005775E+00 2.940901756E+00
 1.157411933E+00 1.648515940E+00 2.935459137E+00
 1.160767198E+00 1.653056383E+00 2.930220127E+00
 1.164351344E+00 1.657598495E+00 2.925140381E+00
 1.168104768E+00 1.662165403E+00 2.920194626E+00
 1.171993852E+00 1.666709900E+00 2.915331841E+00
 1.175996423E+00 1.671187639E+00 2.910523415E+00
 1.180050015E+00 1.675649881E+00 2.905720234E+00
 1.184112906E+00 1.680114031E+00 2.900928020E+00
 1.188164115E+00 1.684587717E+00 2.896143913E+00
 1.192170501E+00 1.689043760E+00 2.891307354E+00
 1.196111560E+00 1.693499088E+00 2.886404514E+00
 1.199917197E+00 1.697901726E+00 2.881363392E+00
 1.203554988E+00 1.702279329E+00 2.876179695E+00
 1.206942201E+00 1.706737280E+00 2.870878220E+00
 1.209951282E+00 1.711401939E+00 2.865541458E+00
 1.212784410E+00 1.715743303E+00 2.859860420E+00
 1.215486407E+00 1.719050169E+00 2.853446007E+00
 1.217978597E+00 1.721499681E+00 2.846581936E+00
 1.220140100E+00 1.723395586E+00 2.839436531E+00
 1.221926332E+00 1.725015879E+00 2.832129002E+00
 1.223354459E+00 1.726373196E+00 2.824678898E+00
 1.224443078E+00 1.727443218E+00 2.817140102E+00
 1.225213647E+00 1.728208065E+00 2.809515953E+00
 1.225718379E+00 1.728623390E+00 2.801833153E+00
 1.225961804E+00 1.728713036E+00 2.794131756E+00
 1.225952744E+00 1.728479624E+00 2.786432266E+00
 1.225767255E+00 1.727960348E+00 2.778747082E+00
 1.225431323E+00 1.727179527E+00 2.771099091E+00
 1.224959254E+00 1.726097822E+00 2.763480186E+00
 1.224394917E+00 1.724770308E+00 2.755911350E+00
 1.223799586E+00 1.723182917E+00 2.748398304E+00
 1.223211646E+00 1.721358776E+00 2.740942955E+00
 1.222692132E+00 1.719282866E+00 2.733540535E+00
 1.222225547E+00 1.717034101E+00 2.726185799E+00
 1.221794486E+00 1.714700460E+00 2.718859673E+00
 1.221397281E+00 1.712319374E+00 2.711539745E+00
 1.221064687E+00 1.709865093E+00 2.704249859E+00
 1.220799088E+00 1.707337379E+00 2.696971416E+00
 1.220567584E+00 1.704724550E+00 2.689731598E+00
 1.220332026E+00 1.702023745E+00 2.682518005E+00
 1.220051885E+00 1.699231148E+00 2.675347328E+00
 1.219719529E+00 1.696297646E+00 2.668232441E+00
 1.219336867E+00 1.693193913E+00 2.661186218E+00
 1.218863368E+00 1.689889669E+00 2.654245853E+00
 1.218292117E+00 1.686326027E+00 2.647447109E+00
